list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6,element7,element8,element9,element10,element11,element12
3,1,1,NAD,MI,ME,GU,FA,TA,SU,BA,PI,NA,NO,MO,BO
3,2,2,NAD,FI,GU,BA,BO,TA,SU,PU,PI,MI,MO,ME,NA
3,3,3,NAD,NO,FA,SU,NA,TA,PU,FI,PI,MO,BA,ME,MI
3,4,4,NAD,ME,NA,BO,GU,TA,MI,SU,PI,FI,PU,FA,BA
3,5,5,NAD,GU,FA,BO,ME,TA,MI,PU,PI,MO,BA,NO,FI
3,6,6,NAD,BA,NO,NA,FI,TA,FA,SU,PI,GU,MO,BO,ME
3,7,7,NAD,MI,GU,ME,NA,TA,SU,BO,PI,BA,PU,MO,NO
3,8,8,NAD,PU,BO,ME,SU,TA,FA,MI,PI,FI,MO,BA,NO
3,9,9,NAD,NO,BA,GU,NA,TA,PU,SU,PI,FA,ME,MO,FI
3,10,10,NAD,MO,FI,NO,FA,TA,MI,NA,PI,BO,ME,PU,GU
3,11,11,NAD,MO,GU,FA,PU,TA,NO,BO,PI,FI,NA,SU,MI
3,12,12,NAD,MI,BA,GU,FI,TA,NA,NO,PI,BO,FA,SU,PU
3,13,1,violation,BA,NO,FI,GU,TA,FA,MO,SU,MI,ME,PU,BO
3,14,2,violation,BA,MO,NA,MI,TA,NO,PU,FA,BO,FI,GU,ME
3,15,3,violation,FA,MO,BA,MI,TA,PU,BO,SU,GU,ME,NA,NO
3,16,4,violation,MO,MI,FI,NA,TA,ME,PU,NO,BO,FA,GU,SU
3,17,5,violation,BA,GU,FA,MI,TA,FI,PU,MO,NO,NA,ME,SU
3,18,6,violation,BO,ME,FA,NA,TA,GU,NO,SU,BA,PU,FI,MO
3,19,7,violation,SU,ME,PU,FI,TA,BO,BA,MO,MI,FA,GU,NA
3,20,8,violation,FA,ME,NA,NO,TA,GU,FI,PU,BO,SU,MI,BA
3,21,9,violation,NA,PU,MO,FI,TA,NO,ME,GU,SU,BA,BO,MI
3,22,10,violation,BA,MO,GU,BO,TA,FI,FA,NA,MI,NO,SU,ME
3,23,11,violation,MI,SU,MO,NO,TA,PU,GU,FA,BO,NA,FI,BA
3,24,12,violation,FI,FA,MI,BO,TA,NA,NO,SU,ME,PU,BA,MO
