list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6,element7,element8,element9,element10,element11,element12
2,1,1,NAD,MI,BO,GU,NA,KE,ME,SU,MÖ,FI,NO,BA,MO
2,2,2,NAD,FA,NO,ME,MI,KE,MO,BA,MÖ,PU,SU,NA,BO
2,3,3,NAD,FA,NA,MO,BA,KE,MI,FI,MÖ,BO,PU,GU,NO
2,4,4,NAD,PU,MO,BA,ME,KE,FA,BO,MÖ,GU,NA,SU,FI
2,5,5,NAD,MO,FA,MI,PU,KE,NO,BA,MÖ,BO,ME,SU,GU
2,6,6,NAD,BO,FI,MO,ME,KE,NA,PU,MÖ,BA,FA,NO,SU
2,7,7,NAD,NO,SU,PU,FA,KE,NA,GU,MÖ,ME,FI,MI,BO
2,8,8,NAD,BA,NO,NA,PU,KE,ME,FI,MÖ,MI,GU,SU,MO
2,9,9,NAD,FA,SU,ME,GU,KE,NA,MO,MÖ,BO,FI,MI,NO
2,10,10,NAD,NO,FA,BA,BO,KE,GU,NA,MÖ,PU,FI,SU,MI
2,11,11,NAD,BO,FI,ME,GU,KE,MO,BA,MÖ,PU,FA,MI,NA
2,12,12,NAD,FI,GU,PU,NO,KE,MI,MO,MÖ,ME,SU,BA,FA
2,13,1,violation,FA,GU,FI,BO,KE,SU,NA,MO,PU,MI,NO,ME
2,14,2,violation,GU,FI,FA,MO,KE,BO,SU,ME,BA,NO,MI,NA
2,15,3,violation,PU,FA,GU,NA,KE,SU,MI,NO,MO,BA,BO,ME
2,16,4,violation,MI,ME,BA,PU,KE,BO,NO,FI,MO,FA,GU,SU
2,17,5,violation,ME,NA,FI,FA,KE,SU,MO,BO,GU,PU,NO,BA
2,18,6,violation,FA,BA,NA,FI,KE,ME,MI,BO,GU,PU,SU,NO
2,19,7,violation,MI,GU,MO,NA,KE,ME,PU,BA,SU,BO,FI,NO
2,20,8,violation,GU,BO,FI,MO,KE,MI,SU,PU,ME,NA,FA,BA
2,21,9,violation,PU,NO,MO,SU,KE,NA,BO,FA,MI,GU,FI,BA
2,22,10,violation,PU,BA,ME,MI,KE,FA,GU,FI,MO,NO,NA,BO
2,23,11,violation,MO,NA,ME,BO,KE,PU,FI,BA,NO,FA,SU,MI
2,24,12,violation,SU,MO,GU,NO,KE,FI,BA,MI,PU,NA,ME,FA
